Username,Link,Posts Count,Following,Followers,Caption,Likes,User Commended,Comment,Commenter Link,Blue Badge
sachintendulkar,https://www.instagram.com/sachintendulkar/,902,29,"32,417,241","He not only taught us cricket, but instilled the belief in us that one day we'll play for India if we played with sincerity and honesty. 

You can't ever thank someone enough for a gift like this. Wish you were here with us, Achrekar Sir.

Always in our hearts. ♥️",701348,atulkasbekar,"The modern day Dronacharya 
Eternally grateful for his immense contribution behind the scenes",https://instagram.com/atulkasbekar,YES
sachintendulkar,https://www.instagram.com/sachintendulkar/,902,29,"32,417,241","He not only taught us cricket, but instilled the belief in us that one day we'll play for India if we played with sincerity and honesty. 

You can't ever thank someone enough for a gift like this. Wish you were here with us, Achrekar Sir.

Always in our hearts. ♥️",701348,jay___kamane,And the rest is golden history!❤️,https://instagram.com/jay___kamane,No
sachintendulkar,https://www.instagram.com/sachintendulkar/,902,29,"32,417,241","He not only taught us cricket, but instilled the belief in us that one day we'll play for India if we played with sincerity and honesty. 

You can't ever thank someone enough for a gift like this. Wish you were here with us, Achrekar Sir.

Always in our hearts. ♥️",701348,mrunal667,Sachin Sachin 👏👏👏 Sachin Sachin 👏👏👏 Sachin Sachin 👏👏👏 Sachin Sachin 👏👏👏......,https://instagram.com/mrunal667,No
sachintendulkar,https://www.instagram.com/sachintendulkar/,902,29,"32,417,241","He not only taught us cricket, but instilled the belief in us that one day we'll play for India if we played with sincerity and honesty. 

You can't ever thank someone enough for a gift like this. Wish you were here with us, Achrekar Sir.

Always in our hearts. ♥️",701348,anjali__sharma1204,❤️❤️,https://instagram.com/anjali__sharma1204,No
sachintendulkar,https://www.instagram.com/sachintendulkar/,902,29,"32,417,241","He not only taught us cricket, but instilled the belief in us that one day we'll play for India if we played with sincerity and honesty. 

You can't ever thank someone enough for a gift like this. Wish you were here with us, Achrekar Sir.

Always in our hearts. ♥️",701348,deepika_singh_available_now,❤️❤️,https://instagram.com/deepika_singh_available_now,No
sachintendulkar,https://www.instagram.com/sachintendulkar/,902,29,"32,417,241","He not only taught us cricket, but instilled the belief in us that one day we'll play for India if we played with sincerity and honesty. 

You can't ever thank someone enough for a gift like this. Wish you were here with us, Achrekar Sir.

Always in our hearts. ♥️",701348,dhruvidelight,😮,https://instagram.com/dhruvidelight,No
sachintendulkar,https://www.instagram.com/sachintendulkar/,902,29,"32,417,241","He not only taught us cricket, but instilled the belief in us that one day we'll play for India if we played with sincerity and honesty. 

You can't ever thank someone enough for a gift like this. Wish you were here with us, Achrekar Sir.

Always in our hearts. ♥️",701348,mrkesavavicky,Love u tendulkar ❤️,https://instagram.com/mrkesavavicky,No
sachintendulkar,https://www.instagram.com/sachintendulkar/,902,29,"32,417,241","He not only taught us cricket, but instilled the belief in us that one day we'll play for India if we played with sincerity and honesty. 

You can't ever thank someone enough for a gift like this. Wish you were here with us, Achrekar Sir.

Always in our hearts. ♥️",701348,check_my_story22,😍😍,https://instagram.com/check_my_story22,No
sachintendulkar,https://www.instagram.com/sachintendulkar/,902,29,"32,417,241","He not only taught us cricket, but instilled the belief in us that one day we'll play for India if we played with sincerity and honesty. 

You can't ever thank someone enough for a gift like this. Wish you were here with us, Achrekar Sir.

Always in our hearts. ♥️",701348,45_suyash,Sir 🔥🔥😍😍,https://instagram.com/45_suyash,No
sachintendulkar,https://www.instagram.com/sachintendulkar/,902,29,"32,417,241","He not only taught us cricket, but instilled the belief in us that one day we'll play for India if we played with sincerity and honesty. 

You can't ever thank someone enough for a gift like this. Wish you were here with us, Achrekar Sir.

Always in our hearts. ♥️",701348,dark_beast_evil,Greatest coach,https://instagram.com/dark_beast_evil,No
